ID	OrganizationName	University/Institue/Hospital/Gov	School/College/Division	Department/Group/Program	Lab		OrganizationAbbreviation	OrganizationAddress	OrganizationCity	OrganizationAdmin1	OrganizationPostalCode	OrganizationCountry	OrganizationCoordinates	OrganizationPhone	OrganizationURL	OrganizationType	MemberOf	Email	TwitterHandle	TwitterHandle	GithubIdentifier	LinkedInURL	RecordUpdatedBy	RecordUpdatedEmail	RecordUpdatedDate	Original MemberOf	MemberOf with Org Name (sort with)		order
203	Reach Lab	University of Nebraska-Lincoln			Reach Lab			209 Benton Hall	Lincoln	Nebraska	68588-0623	United States		+1 888 567 5285	http://reach.unl.edu/	Lab	University of Nebraska-Lincoln	kdombrowski2@unl.edu	@UNLReach							University of Nebraska - Lincoln	University of Nebraska-Lincoln, Reach Lab	Kirk Dombrowski	171
187	Reich Lab	University of Massachusetts Amherst	School of Public Health and Health Sciences	Department of Biostatistics and Epidemiology	Reich Lab				Amherst	Massachusetts	01003	United States			http://reichlab.io/	Lab	University of Massachusetts Amherst, School of Public Health and Health Sciences, Department of Biostatistics and Epidemiology		@reichlab		reichlab					Department of Biostatistics and Epidemiology of School of Public Health and Health Sciences at University of Massachusetts Amherst	University of Massachusetts Amherst, School of Public Health and Health Sciences, Department of Biostatistics and Epidemiology, Reich Lab	Nicholas Reich	172
146	Remais Lab	University of California Berkeley	School of Public Health		Remais Lab			Berkeley Way West, 2121 Berkeley Way, #5302	Berkeley	California	94720-7360	United States		+1 510 643 8900	http://justinremais.weebly.com/	Lab	University of California Berkeley, School of Public Health	jvr@berkeley.edu	@Justin_Remais			https://www.linkedin.com/in/justin-remais/				School of Public Health at University of California Berkeley	University of California Berkeley, School of Public Health, Remais Lab	Justin Remais	173
177	Rohani Lab	University of Georgia	Odum School of Ecology, College of Veterinary Medicine	Department of Infectious Disease Epidemiology	Rohani Lab			Room 32, Odum School of Ecology, 140. E. Green St.	Athens	Georgia	30602	United States		+1 706 542 8838	http://rohanilab.ecology.uga.edu/	Lab	University of Georgia, Odum School of Ecology, College of Veterinary Medicine, Department of Infectious Disease Epidemiology	rohani@uga.edu								Odum School of Ecology & Dept. Infectious Diseases, College of Veterinary Medicine, University of Georgia	University of Georgia, Odum School of Ecology, College of Veterinary Medicine, Department of Infectious Disease Epidemiology, Rohani Lab	Pejman Rohani	174
41	Rollins School of Public Health	Emory University	Rollins School of Public Health					1518 Clifton Rd. NE	Atlanta	Georgia	30322	United States		+1 404 727 3956	https://www.sph.emory.edu/	School	Emory University		@EmoryRollins			https://www.linkedin.com/groups/49093/				Emory University 	Emory University, Rollins School of Public Health	Howard Chang, Samuel Jenness, Ben Lopman, Lance Waller	175
233	School of Dentistry	University of Utah		School of Dentistry				University of Utah School School of Dentistry, 530 South Wakara Way	Salt Lake City	Utah	84108	United States		+1 801 581 3174	https://dentistry.utah.edu/	University 	University of Utah	glen.hanson@hsc.utah.edu								University of Utah 	University of Utah, School of Dentistry		176
52	School of Engineering and Applied Science	George Washington University	School of Engineering and Applied Science													School	George Washington University										George Washington University, School of Engineering and Applied Science		177
221	School of Medicine	University of Pittsburgh	School of Medicine					S530 Scaife Hall, 3550 Terrace Street	Pittsburgh	Pennsylvania	15261	United States		+1 412 648 8975	https://www.medschool.pitt.edu/	School	University of Pittsburgh		@pitthealthsci							University of Pittsburgh	University of Pittsburgh, School of Medicine	Jeremy Espino	178
234	School of Medicine	University of Utah		School of Medicine				University of Utah School of Medicine, 30 N. 1900 E	Salt Lake City 	Utah	84108	United States		+1 801 581 7201	https://medicine.utah.edu/	University 	University of Utah	erin.wachs@hsc.utah.edu								University of Utah 	University of Utah, School of Medicine		179
209	School of Medicine	University of North Carolina at Chapel Hill														School	University of North Carolina at Chapel Hill										University of North Carolina at Chapel Hill, School of Medicine		180
152	School of Medicine	University of California San Francisco	School of Medicine				UCSF	533 Parnassus Ave	San Francisco	California	94143	United States		+1 415 353 7192	https://medschool.ucsf.edu/	School	University of California San Francisco										University of California San Francisco, School of Medicine		181
193	School of Public Health	University of Michigan	School of Public Health					1415 Washington Heights	Ann Arbor	Michigan	48109-2029	United States		+1 734 764 5425	https://sph.umich.edu/	School	University of Michigan		@umichsph			https://www.linkedin.com/school/university-of-michigan-school-of-public-health/				University of Michigan	University of Michigan, School of Public Health	Joseph N.S. Eisenberg	182
197	School of Public Health	University of Minnesota 	School of Public Health					420 Delaware St. S. E.	Minneapolis	Minnesota	55455	United States		+1 612 626 3500	https://www.sph.umn.edu/	School	University of Minnesota 	sph-ask@umn.edu	@publichealthunm			https://www.linkedin.com/school/umnsph/				University of Minnesota 	University of Minnesota , School of Public Health	Eva Enns	183
72	School of Public Health	Imperial College London	School of Public Health					Level 2, Faculty Building, South Kensington Campus	London		SW7 2AZ	United Kingdom			https://www.imperial.ac.uk/school-public-health/	School	Imperial College London		@ImperialMed							Imperial College London	Imperial College London, School of Public Health	Niel Ferguson, Steven Riley	184
246	School of Public Health	Yale University	School of Public Health					60 College Street, P.O. Box 208034	New Haven	Conneticut	06520-8034	United States			https://publichealth.yale.edu/	School	Yale University		@YaleSPH			https://www.linkedin.com/school/yale-school-of-public-health/				Yale University	Yale University, School of Public Health	Alison Galvani, Daniel Weinberger	185
8	School of Public Health	Boston University	School of Public Health					Talbot Building, 715 Albany St	Boston	Massachusetts	02218	United States		+1 617 358 3995	https://www.bu.edu/sph/	School	Boston University	hcox@bu.edu	@busph			https://www.linkedin.com/school/boston-university-school-of-public-health/				Boston University	Boston University, School of Public Health	Elaine Nsoesie, Laura F. White	186
144	School of Public Health	University of California Berkeley	School of Public Health					University of California, Berkeley, 2121 Berkeley Way, Room 5302	Berkeley	California	94720-7360	United States			https://sph.berkeley.edu/	School	University of California Berkeley	sphweb@berkeley.edu	@UCBerkeleySPH			https://www.linkedin.com/company/uc-berkeley-school-of-public-health/				University of California Berkeley	University of California Berkeley, School of Public Health	Justin Remais	187
240	School of Public Health	University of Washington														School	University of Washington										University of Washington, School of Public Health		188
185	School of Public Health and Health Sciences	University of Massachusetts Amherst	School of Public Health and Health Sciences						Amherst	Massachusetts	01003	United States			https://www.umass.edu/sphhs/	School	University of Massachusetts Amherst		@umassSPHHS			https://www.linkedin.com/school/umass-amherst-school-of-public-health-health-sciences/				University of Massachusetts Amherst	University of Massachusetts Amherst, School of Public Health and Health Sciences	Nicholas Reich	189
89	School of Veterinary Medicine	Louisiana State University	School of Veterinary Medicine					Skip Bertman Drive at River Road	Baton Rouge	Louisiana	70803	United States		+1 255 578 9900	https://www.lsu.edu/vetmed/	School	Louisiana State University		@lsuvetmed			https://www.linkedin.com/school/louisiana-state-university-school-of-veterinary-me/				Louisiana State University	Louisiana State University, School of Veterinary Medicine	Rebecca Christofferson	190
116	Scripps Research Institute															Institute											Scripps Research Institute		191
30	Shaman Group	Columbia University	Mailman School of Public Health	Environmental Health Sciences	Shaman Group			Environmental Health Sciences, Mailman School of Public Health, Columbia University, 722 West 168th St.	New York	New York	10032	United States			http://blogs.cuit.columbia.edu/jls106/	Group	Columbia University, Mailman School of Public Health, Environmental Health Sciences									Environmental Health Sciences in Mailman School of Public Health at Columbia University	Columbia University, Mailman School of Public Health, Environmental Health Sciences, Shaman Group	Jeffrey Shaman	192
120	South African Centre for Epidemiological Modelling and Analysis	Stellenbosch University 					SACEMA	SACEMA, University of Stellenbosch, Private Bag X1, Matieland, Stellenbosch, 7602				South Africa		+27 (0)21 808 2589 	http://www.sacema.org/	Center	Stellenbosch University 	sacema@sun.ac.za									Stellenbosch University , South African Centre for Epidemiological Modelling and Analysis		193
3	Systems Science and Simulation Lab	Binghamton University		Department of Systems Science and Industrial Engineering	Systems Science and Simulation Lab		S3L	Lab J0, Second floor of Engineering Building, Binghamton University, State University of New York	Binghamton	New York	13902	United States		+1 607 777 5937	http://bingweb.binghamton.edu/~nsabounc/S3L.html	Lab	Binghamton University, Department of Systems Science and Industrial Engineering	sabounchi@binghamton.edu								SUNY Binhamton	Binghamton University, Department of Systems Science and Industrial Engineering, Systems Science and Simulation Lab		194
121	Temple University							1801 N. Broad Street	Philadelphia	Pennsylvania	19122	United States		+1 215 204 7000	https://www.temple.edu/	University			@templeuniv			https://www.linkedin.com/school/templeuniversity/					Temple University		195
112	The Ferrari Lab	Penn State University	Eberly College of Science	Department of Biology	The Ferrari Lab			The Center for Infectious Disease Dynamics, W243 MSC Building, The Pennsylvania State University	University Park	Pennsylvania	16801	United States		+1 814 865 6080	https://theferrarilab.squarespace.com/	Lab	Penn State University, Eberly College of Science, Department of Biology	mferrari@psu.edu	@theferrarilab							Department of Biology at Penn State University	Penn State University, Eberly College of Science, Department of Biology, The Ferrari Lab	Matthew Ferrari	196
44	The Lopman Lab	Emory University	Rollins School of Public Health	Department of Epidemiology	The Lopman Lab			1518 Clifton Rd	Atlanta	Georgia	30322	United States		+1 404 727 7485	https://www.blopman.net/	Lab	Emory University, Rollins School of Public Health, Department of Epidemiology	blopman@emory.edu	@B_Lopman							Epidemiology at Rollins School of Public Health at Emory University	Emory University, Rollins School of Public Health, Department of Epidemiology, The Lopman Lab	Ben Lopman	197
242	THINKLAB	University of Washington			THINKLAB				Seattle	Washington	98195	United States			https://sites.uw.edu/thinklab/	Lab	University of Washington	qzchen@uw.edu								University of Washington	University of Washington, THINKLAB	Cynthia Chen	198
34	Tomaras Lab	Duke University		Duke Human Vaccine Institute	Tomaras Lab			Duke Human Vaccine Institute, 2 Genome Court,MSRB II,DUMC 103020	Durham	North Carolina	27710	United States		+1 540 231 6311	https://dhvi.duke.edu/diseases-research/laboratories/immune-responses-and-virology	Lab	Duke University, Duke Human Vaccine Institute									Duke University	Duke University, Duke Human Vaccine Institute, Tomaras Lab		199
149	Tsolis Lab	University of California Davis		College of Biological Sciences	Tsolis Lab		UC Davis	5519 Genome and Biomedical Sciences	Davis 	California	95616	United States		+1 530 754 8497	https://biology.ucdavis.edu/people/renee-tsolis	Lab	University of California Davis, College of Biological Sciences	rmtsolis@ucdavis.edu	@TsolisRenee							University of California Davis	University of California Davis, College of Biological Sciences, Tsolis Lab		200
123	Tulane University															University											Tulane University		201
126	U.S. Department of Health and Human Services															Government											U.S. Department of Health and Human Services		202
141	University of Buffalo 							12 Capen Hall	Buffalo	New York	14260-1660	United States		+1 716 645 2000	http://www.buffalo.edu/	University			@UBuffalo		weinbergerlab	https://www.linkedin.com/school/universityatbuffalo/					University of Buffalo 		203
143	University of California Berkeley							2121 Berkeley Way	Berkeley	California	94720	United States		+1 510 642 6000	https://www.berkeley.edu/	University			@UCBerkeley								University of California Berkeley		204
147	University of California Davis															University											University of California Davis		205
150	University of California San Francisco						UCSF		San Francisco	California	94158	United States			https://www.ucsf.edu/	University			‎@UCSF	@bansallab							University of California San Francisco		206
153	University of California Santa Cruz															University											University of California Santa Cruz		207
155	University of Chicago						UC	Edward H. Levi Hall, 5801 South Ellis Avenue	Chicago	Illinois	60637	United States		+1 773 702 1234	https://www.uchicago.edu/	University			@UChicago								University of Chicago		208
163	University of Florida						UF		Gainesville	Florida	32611	United States		+1 352 392 3261	http://www.ufl.edu/	University			@UF								University of Florida		209
168	University of Georgia 						UG			Georgia		United States				University			@universityofga	@park_lab_UGA							University of Georgia 		210
179	University of Idaho							875 Perimeter Drive	Moscow	Idaho	83844	United States		+1 208 885 6111	https://www.uidaho.edu/	University			@uidaho			https://www.linkedin.com/school/university-of-idaho/					University of Idaho		211
182	University of Illinois Chicago						UIC	1200 West Harrison St.	Chicago	Illinois	60607	United States		+1 312 996 7000	https://www.uic.edu/	University			@thisisuic								University of Illinois Chicago		212
184	University of Massachusetts Amherst								Amherst	Massachusetts	01003	United States		+1 413 545 0111	https://www.umass.edu/	University			@umassamherst			https://www.linkedin.com/school/university-of-massachusetts-amherst/					University of Massachusetts Amherst		213
188	University of Michigan							500 S. State Street	Ann Arbor	Michigan	48109	United States		+1 734 764 1817	https://umich.edu/	University			@umich			https://www.linkedin.com/school/university-of-michigan/					University of Michigan		214
196	University of Minnesota 							3 Morrill Hall, 100 Church St. E. E.	Minneapolis	Minnesota	55455	United States		+1 612 625 5000	https://twin-cities.umn.edu/	University			@umnews			https://www.linkedin.com/school/university-of-minnesota/					University of Minnesota 		215
198	University of Missouri															University											University of Missouri		216
201	University of Nebraska-Lincoln							1400 R Street	Lincoln	Nebraska	68588	United States		+1 402 472 7211	https://www.unl.edu/	University			@UNLincoln			https://www.linkedin.com/school/university-of-nebraska-lincoln/					University of Nebraska-Lincoln		217
204	University of New Mexico															University											University of New Mexico		218
208	University of North Carolina at Chapel Hill															University											University of North Carolina at Chapel Hill		219
212	University of Oxford							University Offices, Wellington Square	Oxford		OX1 2JD	United Kingdom		+44 1865 270000	http://www.ox.ac.uk/	University			@uniofoxford			https://www.linkedin.com/school/oxforduni/					University of Oxford		220
214	University of Pittsburgh						Pitt	4200 Fifth Avenue	Pittsburgh	Pennsylvania	15260	United States		+1 412 624 4141	https://www.pitt.edu/	University			@PittTweet								University of Pittsburgh		221
225	University of Southern California						USC		Los Angeles	California	90089	United States		+1 213 740 2311	https://www.usc.edu/	University			@usc			https://www.linkedin.com/school/university-of-southern-california/					University of Southern California		222
228	University of Texas at Austin							Main Building (MAI) 110 Inner Campus Drive	Austin	Texas	78705	United States		+1 512 471 3434	https://www.utexas.edu/	University			@utaustin			https://www.linkedin.com/school/theuniversityoftexasataustin-/					University of Texas at Austin		223
232	University of Utah															University											University of Utah		224
235	University of Virginia						UVA		Charlottesville	Virginia		United States		+1 434 924 0311	http://www.virginia.edu/	University			@UVA			https://www.linkedin.com/school/university-of-virginia/					University of Virginia		225
237	University of Washington						UW		Seattle	Washington	98195	United States		+1 206 543 2100	https://www.washington.edu/	University			@UW			https://www.linkedin.com/school/university-of-washington/					University of Washington		226
48	Vaccine and Infectious Disease Division	Fred Hutchinson Cancer Research Center		Vaccine and Infectious Disease Division			VIDD	1100 Fairview Ave. N., Mail Stop E5-110	Seattle	Washington	98109	United States		+1 206 667 5000	https://www.fredhutch.org/en/labs/vaccine-and-infectious-disease.html	Department	Fred Hutchinson Cancer Research Center	brietz@fredhutch.org								Fred Hutchinson Cancer Research Center	Fred Hutchinson Cancer Research Center, Vaccine and Infectious Disease Division	Trevor Bedford, M. Halloran	227
243	Virginia Tech															University											Virginia Tech		228
207	Wearing Lab	University of New Mexico	Departments of Biology and Mathematics & Statistics	Wearing Research Group	Wearing Lab		UNM	Castetter Hall 106, 219 Yale Blvd NE	Albuquerque	New Mexico	87106	United States		+1 505 277 0357 	https://math.unm.edu/~hwearing/researchgroup/index.html	Lab	University of New Mexico, Departments of Biology and Mathematics & Statistics, Wearing Research Group									University of New Mexico	University of New Mexico, Departments of Biology and Mathematics & Statistics, Wearing Research Group, Wearing Lab		229
206	Wearing Research Group	University of New Mexico	Departments of Biology and Mathematics & Statistics	Wearing Research Group			UNM	Castetter Hall 106, 219 Yale Blvd NE	Albuquerque	New Mexico	87106	United States		+1 505 277 0357 	https://math.unm.edu/~hwearing/researchgroup/index.html	Lab	University of New Mexico, Departments of Biology and Mathematics & Statistics									University of New Mexico	University of New Mexico, Departments of Biology and Mathematics & Statistics, Wearing Research Group		230
248	Weinberger Lab	Yale University	School of Public Health		Weinberger Lab				New Haven	Conneticut		United States		+1 203 737 6004	https://medicine.yale.edu/lab/weinberger/	Lab	Yale University, School of Public Health	daniel.weinberger@yale.edu								Yale School of Public Health	Yale University, School of Public Health, Weinberger Lab	Daniel Weinberger	231
245	Yale University								New Haven	Conneticut	06520	United States		+1 203 432 4771	https://www.yale.edu/	University			@yale			https://www.linkedin.com/edu/yale-university-18043				Yale University	Yale University		232
71	Department of Infectious Disease Epidemiology	Imperial College London		Department of Infectious Disease Epidemiology				School of Public Health, Faculty of Medicine, Imperial College London, Medical School Building, St Mary’s Campus, Norfolk Place	London		W2 1PG	United Kingdom		44 (0) 20 7594 5777	https://www.imperial.ac.uk/school-public-health/infectious-disease-epidemiology/	University	Imperial College London		@Imperial_IDE								Imperial College London, Department of Infectious Disease Epidemiology		233
99	Department of Biology	McMaster University						Life Sciences Building, Room 215, McMaster University,1280 Main Street West 	Hamilton 	Ontario	L8S 4K1	Canada		+ 1 905 525 9140	https://www.biology.mcmaster.ca/	Department	McMaster University	biology@mcmaster.ca									McMaster University, Department of Biology		234
15	Dynamical Processes in Complex Societies Unit	Bruno Kessler Foundation					DPCS	Dynamical Processes in Complex Societies (DPCS) unit, Bruno Kessler Foundation, Via Sommarive n. 18	Povo	Trento	38123	Italy		+ 461314595	http://dpcs.fbk.eu/	Unit	Bruno Kessler Foundation	merler@fbk.eu									Bruno Kessler Foundation, Dynamical Processes in Complex Societies Unit		235
14	Bruno Kessler Foundation															Other											Bruno Kessler Foundation		236
98	McMaster University															University											McMaster University		237
68	School of Public Health	Hong Kong University														School	Hong Kong University										Hong Kong University, School of Public Health		238
103	Northeastern University															University											Northeastern University		239
105	Notre Dame University															University											Notre Dame University		240
109	Eberly College of Science	Penn State University														University	Penn State University										Penn State University, Eberly College of Science		241
113	Princeton University															University											Princeton University		242
114	Department of Ecology & Evolutionary Biology	Princeton University														Department	Princeton University										Princeton University, Department of Ecology & Evolutionary Biology		243
119	Stellenbosch University 															University											Stellenbosch University 		244
139	University of Antwerp															University											University of Antwerp		245
161	University of Colorado Boulder															University											University of Colorado Boulder		246
189	Department of Ecology and Evolutionary Biology	University of Michigan														Department	University of Michigan										University of Michigan, Department of Ecology and Evolutionary Biology		247
67	Hong Kong University															University											Hong Kong University		248
249	Pennsylvania State University																												249
